Var,Domain,Labels,Type,VariableName,SEQ,SEND_3_1,SEND_3_1_1,DART1_1,DART1_2
bw.BWUSCHFL,bw,Unscheduled Flag,Variable,BWUSCHFL,18,Y,Y,Y,
bw.VISITDY,bw,Planned Study Day of Collection,Variable,VISITDY,19,Y,Y,Y,
bw.BWDTC,bw,Date/Time Animal Weighed,Variable,BWDTC,20,Y,Y,Y,
bw.BWDY,bw,Study Day Animal Weighed,Variable,BWDY,21,Y,Y,Y,
bw.BWNOMDY,bw,Nominal Study Day for Tabulations,Variable,BWNOMDY,22,Y,Y,Y,
bw.BWNOMLBL,bw,Label for Nominal Study Day,Variable,BWNOMLBL,23,Y,Y,Y,
bw.RPHASE,bw,Repro Phase,Variable,RPHASE,24,,,Y,
bw.RPPLDY,bw,Planned Repro Phase Day of Observation,Variable,RPPLDY,25,,,Y,
bw.BWRPDY,bw,Actual Repro Phase Day of Observation,Variable,BWRPDY,26,,,Y,
cl.STUDYID,cl,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
cl.DOMAIN,cl,Domain Abbreviation,Variable,DOMAIN,2,Y,Y,Y,
cl.USUBJID,cl,Unique Subject Identifier,Variable,USUBJID,3,Y,Y,Y,
cl.POOLID,cl,Pool Identifier,Variable,POOLID,4,Y,Y,Y,
cl.FOCID,cl,Focus of Study- Specific Interest,Variable,FOCID,5,Y,Y,Y,
cl.CLSEQ,cl,Sequence Number,Variable,CLSEQ,6,Y,Y,Y,
cl.CLGRPID,cl,Group Identifier,Variable,CLGRPID,7,Y,Y,Y,
cl.cl,cl,Clinical Observations,Domain,,8,Y,Y,Y,
cl.CLSPID,cl,Mass Identifier,Variable,CLSPID,8,Y,Y,Y,
cl.CLTESTCD,cl,Test Short Name,Variable,CLTESTCD,9,Y,Y,Y,
cl.CLTEST,cl,Test Name,Variable,CLTEST,10,Y,Y,Y,
cl.CLCAT,cl,Category for Clinical Observations,Variable,CLCAT,11,Y,Y,Y,
cl.CLSCAT,cl,Subcategory for Clinical Observations,Variable,CLSCAT,12,Y,Y,Y,
cl.CLBODSYS,cl,Body System or Organ Class,Variable,CLBODSYS,13,Y,Y,Y,
cl.CLORRES,cl,Result or Findings as Collected,Variable,CLORRES,14,Y,Y,Y,
cl.CLSTRESC,cl,Standardized Result in Character Format,Variable,CLSTRESC,15,Y,Y,Y,
cl.CLRESCAT,cl,Result Category,Variable,CLRESCAT,16,Y,Y,Y,
cl.CLSTAT,cl,Completion Status,Variable,CLSTAT,17,Y,Y,Y,
cl.CLREASND,cl,Reason Not Done,Variable,CLREASND,18,Y,Y,Y,
cl.CLLOC,cl,Location of a Finding,Variable,CLLOC,19,Y,Y,Y,
cl.CLEVAL,cl,Evaluator,Variable,CLEVAL,20,Y,Y,Y,
cl.CLSEV,cl,Severity,Variable,CLSEV,21,Y,Y,Y,
cl.CLEXCLFL,cl,Exclusion Flag,Variable,CLEXCLFL,22,Y,Y,Y,
cl.CLREASEX,cl,Reason for Exclusion,Variable,CLREASEX,23,Y,Y,Y,
cl.CLUSCHFL,cl,Unscheduled Flag,Variable,CLUSCHFL,24,Y,Y,Y,
cl.VISITDY,cl,Planned Study Day of Collection,Variable,VISITDY,25,Y,Y,Y,
cl.CLDTC,cl,Date/Time of Observation,Variable,CLDTC,26,Y,Y,Y,
cl.CLENDTC,cl,End Date/Time of Observation,Variable,CLENDTC,27,Y,Y,Y,
cl.CLDY,cl,Study Day of Observation,Variable,CLDY,28,Y,Y,Y,
cl.CLENDY,cl,Study Day of End of Observation,Variable,CLENDY,29,Y,Y,Y,
cl.CLNOMDY,cl,Nominal Study Day for Tabulations,Variable,CLNOMDY,30,Y,Y,Y,
cl.CLNOMLBL,cl,Label for Nominal Study Day,Variable,CLNOMLBL,31,Y,Y,Y,
cl.CLTPT,cl,Planned Time Point Name,Variable,CLTPT,32,Y,Y,Y,
cl.CLTPTNUM,cl,Planned Time Point Number,Variable,CLTPTNUM,33,Y,Y,Y,
cl.CLELTM,cl,Planned Elapsed Time from Time Point Ref,Variable,CLELTM,34,Y,Y,Y,
cl.CLTPTREF,cl,Time Point Reference,Variable,CLTPTREF,35,Y,Y,Y,
cl.CLRFTDTC,cl,Date/Time of Reference Time Point,Variable,CLRFTDTC,36,Y,Y,Y,
cl.RPHASE,cl,Repro Phase,Variable,RPHASE,37,,,Y,
cl.RPPLDY,cl,Planned Repro Phase Day of Observation,Variable,RPPLDY,38,,,Y,
cl.RPPLENDY,cl,Planned Repro Phase Day of Obs End,Variable,RPPLENDY,39,,,Y,
cl.CLRPDY,cl,Actual Repro Phase Day of Observation,Variable,CLRPDY,40,,,Y,
cl.CLRPENDY,cl,Actual Repro Phase Day of Obs End,Variable,CLRPENDY,41,,,Y,
co.STUDYID,co,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
co.co,co,Comments,Domain,,2,Y,Y,Y,
co.DOMAIN,co,Domain Abbreviation,Variable,DOMAIN,2,Y,Y,Y,
co.RDOMAIN,co,Related Domain Abbreviation,Variable,RDOMAIN,3,Y,Y,Y,
co.USUBJID,co,Unique Subject Identifier,Variable,USUBJID,4,Y,Y,Y,
co.POOLID,co,Pool Identifier,Variable,POOLID,5,Y,Y,Y,
co.COSEQ,co,Sequence Number,Variable,COSEQ,6,Y,Y,Y,
co.IDVAR,co,Identifying Variable,Variable,IDVAR,7,Y,Y,Y,
co.IDVARVAL,co,Identifying Variable Value,Variable,IDVARVAL,8,Y,Y,Y,
co.COREF,co,Comment Reference,Variable,COREF,9,Y,Y,Y,
co.COVAL,co,Comment,Variable,COVAL,10,Y,Y,Y,
co.COEVAL,co,Evaluator,Variable,COEVAL,11,Y,Y,Y,
co.CODTC,co,Date/Time of Comment,Variable,CODTC,12,Y,Y,Y,
co.CODY,co,Study Day of Comment,Variable,CODY,13,Y,Y,Y,
co.RPHASE,co,Repro Phase,Variable,RPHASE,14,,,Y,
co.CORPDY,co,Actual Repro Phase Day of Observation,Variable,CORPDY,15,,,Y,
cv.STUDYID,cv,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
cv.DOMAIN,cv,Domain Abbreviation,Variable,DOMAIN,2,Y,Y,Y,
cv.USUBJID,cv,Unique Subject Identifier,Variable,USUBJID,3,Y,Y,Y,
cv.CVSEQ,cv,Sequence Number,Variable,CVSEQ,4,Y,Y,Y,
cv.CVGRPID,cv,Group Identifier,Variable,CVGRPID,5,Y,Y,Y,
cv.CVSPID,cv,Sponsor-Defined Identifier,Variable,CVSPID,6,Y,Y,Y,
cv.CVTESTCD,cv,Test Short Name,Variable,CVTESTCD,7,Y,Y,Y,
cv.CVTEST,cv,Test Name,Variable,CVTEST,8,Y,Y,Y,
cv.CVPOS,cv,Position of Subject During Test,Variable,CVPOS,9,Y,Y,Y,
cv.CVORRES,cv,Result or Findings as Collected,Variable,CVORRES,10,Y,Y,Y,
cv.CVORRESU,cv,Unit of the Original Result,Variable,CVORRESU,11,Y,Y,Y,
cv.CVSTRESC,cv,Standardized Result in Character Format,Variable,CVSTRESC,12,Y,Y,Y,
cv.CVSTRESN,cv,Standardized Result in Numeric Format,Variable,CVSTRESN,13,Y,Y,Y,
cv.CVSTRESU,cv,Unit of the Standardized Result,Variable,CVSTRESU,14,Y,Y,Y,
cv.CVSTAT,cv,Completion Status,Variable,CVSTAT,15,Y,Y,Y,
cv.CVREASND,cv,Reason Not Done,Variable,CVREASND,16,Y,Y,Y,
cv.CVMETHOD,cv,Method of Test,Variable,CVMETHOD,17,Y,Y,Y,
cv.CVCSTATE,cv,Consciousness State,Variable,CVCSTATE,18,Y,Y,Y,
cv.CVBLFL,cv,Baseline Flag,Variable,CVBLFL,19,Y,Y,Y,
cv.CVDRVFL,cv,Derived Flag,Variable,CVDRVFL,20,Y,Y,Y,
cv.CVEXCLFL,cv,Exclusion Flag,Variable,CVEXCLFL,21,Y,Y,Y,
cv.cv,cv,Cardiovascular Test Results,Domain,,22,Y,Y,Y,
cv.CVREASEX,cv,Reason for Exclusion,Variable,CVREASEX,22,Y,Y,Y,
cv.CVUSCHFL,cv,Unscheduled Flag,Variable,CVUSCHFL,23,Y,Y,Y,
cv.CVDTC,cv,Date/Time of Cardiovascular Test,Variable,CVDTC,24,Y,Y,Y,
cv.CVENDTC,cv,End Date/Time of Cardiovascular Test,Variable,CVENDTC,25,Y,Y,Y,
cv.CVDY,cv,Study Day of Cardiovascular Test,Variable,CVDY,26,Y,Y,Y,
cv.CVENDY,cv,Study Day of End of Cardiovascular Test,Variable,CVENDY,27,Y,Y,Y,
cv.CVNOMDY,cv,Nominal Study Day for Tabulations,Variable,CVNOMDY,28,Y,Y,Y,
cv.CVNOMLBL,cv,Label for Nominal Study Day,Variable,CVNOMLBL,29,Y,Y,Y,
cv.CVTPT,cv,Planned Time Point Name,Variable,CVTPT,30,Y,Y,Y,
cv.CVTPTNUM,cv,Planned Time Point Number,Variable,CVTPTNUM,31,Y,Y,Y,
cv.CVELTM,cv,Planned Elapsed Time from Time Point Ref,Variable,CVELTM,32,Y,Y,Y,
cv.CVTPTREF,cv,Time Point Reference,Variable,CVTPTREF,33,Y,Y,Y,
cv.CVRFTDTC,cv,Date/Time of Reference Time Point,Variable,CVRFTDTC,34,Y,Y,Y,
cv.CVEVLINT,cv,Evaluation Interval,Variable,CVEVLINT,35,Y,Y,Y,
cv.CVSTINT,cv,Planned Start of Assessment Interval,Variable,CVSTINT,36,Y,Y,Y,
cv.CVENINT,cv,Planned End of Assessment Interval,Variable,CVENINT,37,Y,Y,Y,
dd.STUDYID,dd,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
dd.DOMAIN,dd,Domain Abbreviation,Variable,DOMAIN,2,Y,Y,Y,
dd.USUBJID,dd,Unique Subject Identifier,Variable,USUBJID,3,Y,Y,Y,
dd.DDSEQ,dd,Sequence Number,Variable,DDSEQ,4,Y,Y,Y,
dd.DDTESTCD,dd,Death Diagnosis Short Name,Variable,DDTESTCD,5,Y,Y,Y,
dd.DDTEST,dd,Death Diagnosis Name,Variable,DDTEST,6,Y,Y,Y,
dd.DDORRES,dd,Result or Findings as Collected,Variable,DDORRES,7,Y,Y,Y,
dd.DDSTRESC,dd,Standardized Result in Character Format,Variable,DDSTRESC,8,Y,Y,Y,
dd.dd,dd,Death Diagnosis and Details,Domain,,9,Y,Y,Y,
dd.DDRESCAT,dd,Result Category,Variable,DDRESCAT,9,Y,Y,Y,
dd.DDEVAL,dd,Evaluator,Variable,DDEVAL,10,Y,Y,Y,
dd.DDDTC,dd,Date/Time,Variable,DDDTC,11,Y,Y,Y,
dd.DDDY,dd,Study Day,Variable,DDDY,12,Y,Y,Y,
dd.RPHASE,dd,Repro Phase,Variable,RPHASE,13,,,Y,
dd.DDRPDY,dd,Actual Repro Phase Day of Observation,Variable,DDRPDY,14,,,Y,
dm.dm,dm,Demographics,Domain,,1,Y,Y,Y,
dm.STUDYID,dm,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
dm.DOMAIN,dm,Domain Abbreviation,Variable,DOMAIN,2,Y,Y,Y,
dm.USUBJID,dm,Unique Subject Identifier,Variable,USUBJID,3,Y,Y,Y,
dm.SUBJID,dm,Subject Identifier for the Study,Variable,SUBJID,4,Y,Y,Y,
dm.RFSTDTC,dm,Subject Reference Start Date/Time,Variable,RFSTDTC,5,Y,Y,Y,
dm.RFENDTC,dm,Subject Reference End Date/Time,Variable,RFENDTC,6,Y,Y,Y,
dm.RFXSTDTC,dm,Date/Time of First Study Treatment,Variable,RFXSTDTC,7,Y,Y,Y,
dm.RFXENDTC,dm,Date/Time of Last Study Treatment,Variable,RFXENDTC,8,Y,Y,Y,
dm.SITEID,dm,Study Site Identifier,Variable,SITEID,9,Y,Y,Y,
dm.BRTHDTC,dm,Date/Time of Birth,Variable,BRTHDTC,10,Y,Y,Y,
dm.AGE,dm,Age,Variable,AGE,11,Y,Y,Y,
dm.AGETXT,dm,Age Range,Variable,AGETXT,12,Y,Y,Y,
dm.AGEU,dm,Age Unit,Variable,AGEU,13,Y,Y,Y,
dm.SEX,dm,Sex,Variable,SEX,14,Y,Y,Y,
dm.SPECIES,dm,Species,Variable,SPECIES,15,Y,Y,Y,
dm.STRAIN,dm,Strain/Substrain,Variable,STRAIN,16,Y,Y,Y,
dm.SBSTRAIN,dm,Strain/Substrain Details,Variable,SBSTRAIN,17,Y,Y,Y,
dm.ARMCD,dm,Planned Arm Code,Variable,ARMCD,18,Y,Y,Y,
dm.ARM,dm,Description of Planned Arm,Variable,ARM,19,Y,Y,Y,
dm.SETCD,dm,Set Code,Variable,SETCD,20,Y,Y,Y,
dm.RPATHCD,dm,Planned Repro Path Code,Variable,RPATHCD,21,,,Y,
ds.STUDYID,ds,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
ds.DOMAIN,ds,Domain Abbreviation,Variable,DOMAIN,2,Y,Y,Y,
ds.USUBJID,ds,Unique Subject Identifier,Variable,USUBJID,3,Y,Y,Y,
ds.DSSEQ,ds,Sequence Number,Variable,DSSEQ,4,Y,Y,Y,
ds.ds,ds,Disposition,Domain,,5,Y,Y,Y,
ds.DSTERM,ds,Reported Term for the Disposition Event,Variable,DSTERM,5,Y,Y,Y,
ds.DSDECOD,ds,Standardized Disposition Term,Variable,DSDECOD,6,Y,Y,Y,
ds.DSUSCHFL,ds,Unscheduled Flag,Variable,DSUSCHFL,7,Y,Y,Y,
ds.VISITDY,ds,Planned Study Day of Disposition,Variable,VISITDY,8,Y,Y,Y,
ds.DSSTDTC,ds,Date/Time of Disposition,Variable,DSSTDTC,9,Y,Y,Y,
ds.DSSTDY,ds,Study Day of Disposition,Variable,DSSTDY,10,Y,Y,Y,
ds.DSNOMDY,ds,Nominal Study Day for Tabulations,Variable,DSNOMDY,11,Y,Y,Y,
ds.DSNOMLBL,ds,Label for Nominal Study Day,Variable,DSNOMLBL,12,Y,Y,Y,
ds.RPHASE,ds,Repro Phase,Variable,RPHASE,13,,,Y,
ds.RPPLSTDY,ds,Planned Repro Phase Day of Obs Start,Variable,RPPLSTDY,14,,,Y,
ds.DSRPSTDY,ds,Acual Repro Phase Day of Obs Start,Variable,DSRPSTDY,15,,,Y,
eg.STUDYID,eg,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
eg.DOMAIN,eg,Domain Abbreviation,Variable,DOMAIN,2,Y,Y,Y,
eg.USUBJID,eg,Unique Subject Identifier,Variable,USUBJID,3,Y,Y,Y,
eg.EGSEQ,eg,Sequence Number,Variable,EGSEQ,4,Y,Y,Y,
eg.EGGRPID,eg,Group Identifier,Variable,EGGRPID,5,Y,Y,Y,
eg.EGREFID,eg,ECG Reference Identifier,Variable,EGREFID,6,Y,Y,Y,
eg.EGSPID,eg,Sponsor-Defined Identifier,Variable,EGSPID,7,Y,Y,Y,
eg.EGTESTCD,eg,ECG Test Short Name,Variable,EGTESTCD,8,Y,Y,Y,
eg.EGTEST,eg,ECG Test Name,Variable,EGTEST,9,Y,Y,Y,
eg.EGCAT,eg,Category for ECG,Variable,EGCAT,10,Y,Y,Y,
eg.EGPOS,eg,ECG Position of Subject,Variable,EGPOS,11,Y,Y,Y,
eg.EGORRES,eg,Result or Findings as Collected,Variable,EGORRES,12,Y,Y,Y,
eg.EGORRESU,eg,Unit of the Original Result,Variable,EGORRESU,13,Y,Y,Y,
eg.EGSTRESC,eg,Standardized Result in Character Format,Variable,EGSTRESC,14,Y,Y,Y,
eg.EGSTRESN,eg,Standardized Result in Numeric Format,Variable,EGSTRESN,15,Y,Y,Y,
eg.EGSTRESU,eg,Unit of the Standardized Result,Variable,EGSTRESU,16,Y,Y,Y,
eg.EGSTAT,eg,Completion Status,Variable,EGSTAT,17,Y,Y,Y,
eg.EGREASND,eg,Reason Not Done,Variable,EGREASND,18,Y,Y,Y,
eg.EGXFN,eg,ECG External File Name,Variable,EGXFN,19,Y,Y,Y,
eg.EGNAM,eg,Laboratory Name,Variable,EGNAM,20,Y,Y,Y,
eg.eg,eg,ECG Test Results,Domain,,21,Y,Y,Y,
eg.EGMETHOD,eg,Method of ECG Test,Variable,EGMETHOD,21,Y,Y,Y,
eg.EGLEAD,eg,Lead Used for Measurement,Variable,EGLEAD,22,Y,Y,Y,
eg.EGCSTATE,eg,Consciousness State,Variable,EGCSTATE,23,Y,Y,Y,
eg.EGBLFL,eg,Baseline Flag,Variable,EGBLFL,24,Y,Y,Y,
eg.EGDRVFL,eg,Derived Flag,Variable,EGDRVFL,25,Y,Y,Y,
eg.EGEVAL,eg,Evaluator,Variable,EGEVAL,26,Y,Y,Y,
eg.EGEXCLFL,eg,Exclusion Flag,Variable,EGEXCLFL,27,Y,Y,Y,
eg.EGREASEX,eg,Reason for Exclusion,Variable,EGREASEX,28,Y,Y,Y,
eg.EGUSCHFL,eg,Unscheduled Flag,Variable,EGUSCHFL,29,Y,Y,Y,
eg.VISITDY,eg,Planned Study Day of Collection,Variable,VISITDY,30,Y,Y,Y,
eg.EGDTC,eg,Date/Time of ECG Collection,Variable,EGDTC,31,Y,Y,Y,
eg.EGENDTC,eg,End Date/Time of ECG Collection,Variable,EGENDTC,32,Y,Y,Y,
eg.EGDY,eg,Study Day of ECG Collection,Variable,EGDY,33,Y,Y,Y,
eg.EGENDY,eg,Study Day of End of ECG Collection,Variable,EGENDY,34,Y,Y,Y,
eg.EGNOMDY,eg,Nominal Study Day for Tabulations,Variable,EGNOMDY,35,Y,Y,Y,
eg.EGNOMLBL,eg,Label for Nominal Study Day,Variable,EGNOMLBL,36,Y,Y,Y,
eg.EGTPT,eg,Planned Time Point Name,Variable,EGTPT,37,Y,Y,Y,
eg.EGTPTNUM,eg,Planned Time Point Number,Variable,EGTPTNUM,38,Y,Y,Y,
eg.EGELTM,eg,Planned Elapsed Time from Time Point Ref,Variable,EGELTM,39,Y,Y,Y,
eg.EGTPTREF,eg,Time Point Reference,Variable,EGTPTREF,40,Y,Y,Y,
eg.EGRFTDTC,eg,Date/Time of Reference Time Point,Variable,EGRFTDTC,41,Y,Y,Y,
eg.EGEVLINT,eg,Evaluation Interval,Variable,EGEVLINT,42,Y,Y,Y,
eg.EGSTINT,eg,Planned Start of Assessment Interval,Variable,EGSTINT,43,Y,Y,Y,
eg.EGENINT,eg,Planned End of Assessment Interval,Variable,EGENINT,44,Y,Y,Y,
ex.STUDYID,ex,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
ex.DOMAIN,ex,Domain Abbreviation,Variable,DOMAIN,2,Y,Y,Y,
ex.USUBJID,ex,Unique Subject Identifier,Variable,USUBJID,3,Y,Y,Y,
ex.ex,ex,Exposure,Domain,,4,Y,Y,Y,
ex.POOLID,ex,Pool Identifier,Variable,POOLID,4,Y,Y,Y,
ex.FOCID,ex,Focus of Study- Specific Interest,Variable,FOCID,5,Y,Y,Y,
ex.EXSEQ,ex,Sequence Number,Variable,EXSEQ,6,Y,Y,Y,
ex.EXTRT,ex,Name of Actual Treatment,Variable,EXTRT,7,Y,Y,Y,
ex.EXDOSE,ex,Dose per Administration,Variable,EXDOSE,8,Y,Y,Y,
ex.EXDOSTXT,ex,Dose Description,Variable,EXDOSTXT,9,Y,Y,Y,
ex.EXDOSU,ex,Dose Units,Variable,EXDOSU,10,Y,Y,Y,
ex.EXDOSFRM,ex,Dose Form,Variable,EXDOSFRM,11,Y,Y,Y,
ex.EXDOSFRQ,ex,Dosing Frequency Per Interval,Variable,EXDOSFRQ,12,Y,Y,Y,
ex.EXROUTE,ex,Route of Administration,Variable,EXROUTE,13,Y,Y,Y,
ex.EXLOT,ex,Lot Number,Variable,EXLOT,14,Y,Y,Y,
ex.EXLOC,ex,Location of Dose Administration,Variable,EXLOC,15,Y,Y,Y,
ex.EXMETHOD,ex,Method of Administration,Variable,EXMETHOD,16,Y,Y,Y,
ex.EXTRTV,ex,Treatment Vehicle,Variable,EXTRTV,17,Y,Y,Y,
ex.EXVAMT,ex,Amount Administered,Variable,EXVAMT,18,Y,Y,Y,
ex.EXVAMTU,ex,Amount Administered Units,Variable,EXVAMTU,19,Y,Y,Y,
ex.EXADJ,ex,Reason for Dose Adjustment,Variable,EXADJ,20,Y,Y,Y,
ex.EXSTDTC,ex,Start Date/Time of Treatment,Variable,EXSTDTC,21,Y,Y,Y,
ex.EXENDTC,ex,End Date/Time of Treatment,Variable,EXENDTC,22,Y,Y,Y,
ex.EXSTDY,ex,Study Day of Start of Treatment,Variable,EXSTDY,23,Y,Y,Y,
ex.EXENDY,ex,Study Day of End of Treatment,Variable,EXENDY,24,Y,Y,Y,
ex.EXDUR,ex,Duration of Treatment,Variable,EXDUR,25,Y,Y,Y,
ex.EXTPT,ex,Planned Time Point Name,Variable,EXTPT,26,Y,Y,Y,
ex.EXTPTNUM,ex,Planned Time Point Number,Variable,EXTPTNUM,27,Y,Y,Y,
ex.EXELTM,ex,Planned Elapsed Time from Time Point Ref,Variable,EXELTM,28,Y,Y,Y,
ex.EXTPTREF,ex,Time Point Reference,Variable,EXTPTREF,29,Y,Y,Y,
ex.EXRFTDTC,ex,Date/Time of Reference Time Point,Variable,EXRFTDTC,30,Y,Y,Y,
ex.RPHASE,ex,Repro Phase,Variable,RPHASE,31,,,Y,
ex.RPPLSTDY,ex,Planned Repro Phase Day of Obs Start,Variable,RPPLSTDY,32,,,Y,
ex.RPPLENDY,ex,Planned Repro Phase Day of Obs End,Variable,RPPLENDY,33,,,Y,
ex.EXRPSTDY,ex,Acual Repro Phase Day of Obs Start,Variable,EXRPSTDY,34,,,Y,
ex.EXRPENDY,ex,Actual Repro Phase Day of Obs End,Variable,EXRPENDY,35,,,Y,
fm.STUDYID,fm,Study Identifier,Variable,STUDYID,1,,,Y,
fm.DOMAIN,fm,Domain Abbreviation,Variable,DOMAIN,2,,,Y,
fm.USUBJID,fm,Unique Subject Identifier,Variable,USUBJID,3,,,Y,
fm.FETUSID,fm,Unique Fetus Identifier,Variable,FETUSID,4,,,Y,
fm.FMSEQ,fm,Sequence Number,Variable,FMSEQ,5,,,Y,
fm.FMGRPID,fm,Group Identifier,Variable,FMGRPID,6,,,Y,
fm.FMTESTCD,fm,Test Short Name,Variable,FMTESTCD,7,,,Y,
fm.FMTEST,fm,Fetal Measurement Name,Variable,FMTEST,8,,,Y,
fm.FMORRES,fm,Result or Findings as Collected,Variable,FMORRES,9,,,Y,
fm.FMORRESU,fm,Unit of the Original Result,Variable,FMORRESU,10,,,Y,
fm.FMSTRESC,fm,Standardized Results in Character Format,Variable,FMSTRESC,11,,,Y,
fm.FMSTRESN,fm,Standardized Results in Numeric Format,Variable,FMSTRESN,12,,,Y,
fm.FMSTRESU,fm,Unit of the Standardized Result,Variable,FMSTRESU,13,,,Y,
fm.FMSTAT,fm,Completion Status,Variable,FMSTAT,14,,,Y,
fm.FMREASND,fm,Reason Not Done,Variable,FMREASND,15,,,Y,
fm.FMANTREG,fm,Anatomical Region,Variable,FMANTREG,16,,,Y,
fm.FMLOC,fm,Location Used for the Measurement,Variable,FMLOC,17,,,Y,
fm.FMLAT,fm,Laterality,Variable,FMLAT,18,,,Y,
fm.FMEXCLFL,fm,Exclusion Flag,Variable,FMEXCLFL,19,,,Y,
fm.FMREASEX,fm,Reason for Exclusion,Variable,FMREASEX,20,,,Y,
fm.RPHASE,fm,Repro Phase,Variable,RPHASE,21,,,Y,
fm.RPPLDY,fm,Planned Repro Phase Day,Variable,RPPLDY,22,,,Y,
fm.FMDTC,fm,Date/Time,Variable,FMDTC,23,,,Y,
fm.FMDY,fm,Study Day,Variable,FMDY,24,,,Y,
fm.FMRPDY,fm,Actual Repro Phase Day,Variable,FMRPDY,25,,,Y,
fm.fm,fm,Fetal Measurements,Domain,,41,Y,Y,Y,
fw.STUDYID,fw,Study Identifier,Variable,STUDYID,1,Y,Y,Y,
fw.DOMAIN,fw,Domain Abbreviation,Variable,DOMAIN,2,Y,Y,Y,
